"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
2.966695093E1,6.499080072E1,2.548461907E1,7.884721007E0,2.535400391E1,1.309999943E0,2.602000122E2,3.467616614E-1,3.790092468E0,3.365480185E0,3.600000000E1
3.066736561E1,6.499080038E1,2.548458925E1,7.683119953E0,2.515240479E1,1.169999957E0,2.632000122E2,3.483364790E-1,3.790092468E0,3.383241892E0,3.600000000E1
3.166695337E1,6.499080043E1,2.548455575E1,7.075024911E0,2.454431152E1,1.279999971E0,2.628999939E2,3.498577759E-1,3.790092468E0,3.276527405E0,3.700000000E1
3.266756916E1,6.499080057E1,2.548452339E1,6.649913412E0,2.411920166E1,1.169999957E0,2.613999939E2,3.513224671E-1,3.790092468E0,3.120823860E0,3.700000000E1
3.366746379E1,6.499080086E1,2.548449224E1,6.100656608E0,2.356994629E1,1.259999990E0,2.646000061E2,3.524748004E-1,3.790092468E0,3.092697144E0,3.600000000E1
3.466788384E1,6.499080243E1,2.548446801E1,6.549509253E0,2.401879883E1,8.299999833E-1,2.737000122E2,3.537338956E-1,3.790092468E0,2.955537796E0,3.600000000E1
3.566744634E1,6.499080844E1,2.548444531E1,6.986769337E0,2.445605469E1,1.269999981E0,2.995000000E2,3.553009266E-1,3.790092468E0,3.042178631E0,3.600000000E1
3.666741879E1,6.499080564E1,2.548441264E1,5.456064329E0,2.292535400E1,8.500000238E-1,2.458000031E2,3.561472920E-1,3.944732904E0,3.097069740E0,3.700000000E1
3.766695842E1,6.499080225E1,2.548439652E1,5.086797675E0,2.255609131E1,8.600000143E-1,2.396999969E2,3.577116421E-1,4.393970490E0,3.067187071E0,3.800000000E1
3.866753488E1,6.499080460E1,2.548436371E1,5.790472340E0,2.325976562E1,1.039999962E0,2.588999939E2,3.590069621E-1,3.790092468E0,3.123895884E0,3.800000000E1
3.966773045E1,6.499080293E1,2.548433644E1,6.036379981E0,2.350567627E1,1.370000005E0,2.590000000E2,3.602458418E-1,3.790092468E0,3.094208002E0,3.400000000E1
4.066704821E1,6.499080111E1,2.548431044E1,6.036071735E0,2.350537109E1,1.370000005E0,2.608999939E2,3.615846561E-1,3.790092468E0,2.954247236E0,3.400000000E1
4.166709389E1,6.499079718E1,2.548428352E1,5.923090624E0,2.339239502E1,1.360000014E0,2.567000122E2,3.629909466E-1,3.790092468E0,2.826344490E0,3.400000000E1
4.266694660E1,6.499079283E1,2.548425543E1,6.195301938E0,2.366461182E1,1.350000024E0,2.546999969E2,3.645789370E-1,3.790092468E0,2.752468109E0,3.500000000E1
4.366692644E1,6.499078776E1,2.548422385E1,5.467512408E0,2.293682861E1,1.320000052E0,2.556000061E2,3.661533136E-1,3.790092468E0,2.730001450E0,3.500000000E1
4.466771149E1,6.499078233E1,2.548419292E1,6.214515067E0,2.368383789E1,1.330000043E0,2.577000122E2,3.677805037E-1,3.790092468E0,2.798199177E0,3.500000000E1
4.566772691E1,6.499077670E1,2.548416097E1,6.650482333E0,2.411981201E1,1.350000024E0,2.562999878E2,3.693845471E-1,3.790092468E0,3.198840618E0,3.700000000E1
4.666779832E1,6.499077059E1,2.548413006E1,7.200401857E0,2.466973877E1,1.299999952E0,2.555000000E2,3.708884158E-1,3.790092468E0,3.237290859E0,3.700000000E1
4.766716884E1,6.499076518E1,2.548410074E1,7.201555013E0,2.467089844E1,1.230000019E0,2.583999939E2,3.724186679E-1,3.790092468E0,3.250795126E0,3.700000000E1
4.866735628E1,6.499076246E1,2.548406883E1,7.234814965E0,2.470416260E1,1.100000024E0,2.606000061E2,3.738618072E-1,3.790092468E0,3.132241249E0,3.700000000E1
4.966780305E1,6.499075881E1,2.548403937E1,7.510139634E0,2.497949219E1,1.100000024E0,2.607000122E2,3.753131105E-1,3.790092468E0,3.141776800E0,3.800000000E1
5.066782165E1,6.499075255E1,2.548401228E1,7.777039211E0,2.524639893E1,1.149999976E0,2.460000000E2,3.766998088E-1,3.790092468E0,3.123426437E0,3.800000000E1
5.166730415E1,6.499074570E1,2.548398763E1,7.262932525E0,2.473229980E1,1.169999957E0,2.506000061E2,3.779311340E-1,3.790092468E0,3.065356970E0,3.800000000E1
5.266729691E1,6.499074115E1,2.548396375E1,7.279650725E0,2.474902344E1,1.110000014E0,2.528000031E2,3.791185144E-1,3.790092468E0,3.010059834E0,3.800000000E1
5.366756321E1,6.499073558E1,2.548394220E1,6.583050253E0,2.405242920E1,1.080000043E0,2.506000061E2,3.802634650E-1,3.790092468E0,2.999869347E0,3.800000000E1
5.466756331E1,6.499073079E1,2.548392064E1,5.892981252E0,2.336236572E1,1.070000052E0,2.622000122E2,3.813021151E-1,3.790092468E0,2.936644316E0,3.700000000E1
5.566770165E1,6.499072781E1,2.548389970E1,6.032869983E0,2.350225830E1,1.039999962E0,2.548000031E2,3.823955737E-1,3.790092468E0,2.942748785E0,3.300000000E1
5.666718836E1,6.499072530E1,2.548387721E1,5.772551538E0,2.324194336E1,1.059999943E0,2.562000122E2,3.834920795E-1,3.790092468E0,3.013781071E0,3.100000000E1
5.766718123E1,6.499072186E1,2.548385535E1,5.641199567E0,2.311059570E1,1.059999943E0,2.498999939E2,3.849240893E-1,3.790092468E0,2.827753782E0,3.100000000E1
5.866725805E1,6.499071529E1,2.548382915E1,5.326861119E0,2.279626465E1,1.049999952E0,2.546999969E2,3.862628558E-1,3.790092468E0,2.828151941E0,3.100000000E1
5.966776300E1,6.499070852E1,2.548380560E1,4.818797047E0,2.228820801E1,1.090000033E0,2.491000061E2,3.874557714E-1,3.790092468E0,2.883030653E0,3.200000000E1
