"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.516672127E2,6.499065024E1,2.548180948E1,8.665254195E0,2.613482666E1,0.000000000E0,NaN,4.885158410E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.526675522E2,6.499065026E1,2.548180940E1,8.661164854E0,2.613073730E1,0.000000000E0,NaN,4.887535215E-1,3.790092468E0,2.500000000E0,3.500000000E1
1.536669635E2,6.499064891E1,2.548181332E1,8.383881128E0,2.585345459E1,2.000000030E-1,1.298999939E2,4.894830010E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.546671481E2,6.499064761E1,2.548182853E1,8.033966225E0,2.550354004E1,6.100000143E-1,1.020999985E2,4.901374469E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.556670526E2,6.499064737E1,2.548184244E1,7.925080045E0,2.539465332E1,2.399999946E-1,9.050000000E1,4.914591371E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.566673454E2,6.499064650E1,2.548187048E1,8.056855683E0,2.552642822E1,9.700000286E-1,9.809999847E1,4.932781275E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.576669494E2,6.499064101E1,2.548190693E1,8.066252099E0,2.553582764E1,1.269999981E0,1.105000000E2,4.949782524E-1,3.790092468E0,2.550289869E0,3.800000000E1
1.586670250E2,6.499063456E1,2.548193972E1,8.789514633E0,2.625909424E1,1.230000019E0,1.134000015E2,4.962087937E-1,3.790092468E0,2.530670881E0,3.800000000E1
1.596674031E2,6.499062979E1,2.548196334E1,8.335532098E0,2.580511475E1,8.399999738E-1,1.096999969E2,4.974471021E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.606669396E2,6.499062357E1,2.548198519E1,8.642595515E0,2.611218262E1,8.700000048E-1,1.240000000E2,4.987369430E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.616678506E2,6.499061401E1,2.548200073E1,8.330087687E0,2.579968262E1,8.999999762E-1,1.466999969E2,4.990754913E-1,3.790092468E0,2.508225679E0,3.900000000E1
1.626675580E2,6.499061127E1,2.548199759E1,8.011115304E0,2.548071289E1,0.000000000E0,NaN,4.991416314E-1,3.790092468E0,2.513913870E0,3.900000000E1
1.636675682E2,6.499061091E1,2.548199647E1,8.008307299E0,2.547790527E1,0.000000000E0,NaN,5.004427028E-1,3.790092468E0,2.549049854E0,3.900000000E1
1.646673788E2,6.499060390E1,2.548201863E1,7.913148336E0,2.538275146E1,1.330000043E0,1.199000015E2,5.006788105E-1,3.790092468E0,2.682061195E0,3.900000000E1
1.656673484E2,6.499060375E1,2.548202364E1,7.909364292E0,2.537896729E1,0.000000000E0,NaN,5.008116373E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.666678313E2,6.499060271E1,2.548202225E1,7.712158683E0,2.518176270E1,0.000000000E0,NaN,5.008830766E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.676678457E2,6.499060230E1,2.548202108E1,7.724121138E0,2.519372559E1,0.000000000E0,NaN,5.009120576E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.686678386E2,6.499060216E1,2.548202056E1,7.721618542E0,2.519122314E1,0.000000000E0,NaN,5.009311442E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.696674228E2,6.499060206E1,2.548202023E1,7.718627710E0,2.518823242E1,0.000000000E0,NaN,5.009393723E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.706675146E2,6.499060203E1,2.548202007E1,7.717284901E0,2.518688965E1,0.000000000E0,NaN,5.012129163E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.716669651E2,6.499059989E1,2.548202294E1,7.635373936E0,2.510498047E1,2.599999905E-1,1.316000061E2,5.013625260E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.726674412E2,6.499059884E1,2.548202095E1,7.636105297E0,2.510571289E1,0.000000000E0,NaN,5.014610049E-1,3.790092468E0,2.500000000E0,3.800000000E1
1.736669779E2,6.499059951E1,2.548201958E1,7.728879268E0,2.519848633E1,0.000000000E0,NaN,5.020713613E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.746674005E2,6.499060345E1,2.548201054E1,7.617859402E0,2.508746338E1,5.000000000E-1,3.161000061E2,5.036028034E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.756669752E2,6.499061225E1,2.548198548E1,7.397407038E0,2.486700439E1,1.159999967E0,2.997000122E2,5.053336440E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.766668747E2,6.499061869E1,2.548195196E1,7.219798753E0,2.468939209E1,1.379999995E0,2.848999939E2,5.066117225E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.776675695E2,6.499062185E1,2.548192582E1,7.172009671E0,2.464160156E1,1.029999971E0,2.797000122E2,5.081362303E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.786678416E2,6.499062659E1,2.548189539E1,7.438858020E0,2.490844727E1,1.070000052E0,2.778999939E2,5.097047365E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.796671643E2,6.499063279E1,2.548186542E1,7.044391799E0,2.451397705E1,8.999999762E-1,2.845000000E2,5.110066062E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.806669673E2,6.499063758E1,2.548184015E1,6.501120845E0,2.397070312E1,9.300000072E-1,2.870000000E2,5.122204315E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.816675640E2,6.499064167E1,2.548181621E1,6.375879112E0,2.384545898E1,9.399999976E-1,2.855000000E2,5.139869975E-1,3.790092468E0,2.654534578E0,3.900000000E1
1.826672728E2,6.499064383E1,2.548177898E1,6.359887836E0,2.382946777E1,9.700000286E-1,2.786000061E2,5.159018497E-1,3.790092468E0,2.547869205E0,3.900000000E1
1.836673638E2,6.499064642E1,2.548173871E1,7.082666315E0,2.455224609E1,1.000000000E0,2.793999939E2,5.176729862E-1,3.790092468E0,2.640665054E0,3.900000000E1
1.846673837E2,6.499064831E1,2.548170130E1,6.615014627E0,2.408459473E1,1.129999995E0,2.801000061E2,5.190165686E-1,3.790092468E0,2.687188625E0,3.900000000E1
1.856678440E2,6.499065148E1,2.548167372E1,5.896998424E0,2.336657715E1,1.080000043E0,2.747000122E2,5.201570263E-1,3.790092468E0,2.732066631E0,3.800000000E1
1.866677353E2,6.499065678E1,2.548165295E1,5.746794582E0,2.321636963E1,1.059999943E0,2.860000000E2,5.211944452E-1,3.790092468E0,2.659938097E0,3.800000000E1
1.876675655E2,6.499066312E1,2.548163676E1,5.619968397E0,2.308953857E1,1.059999943E0,3.043999939E2,5.220329925E-1,3.790092468E0,2.500517607E0,3.800000000E1
1.886671028E2,6.499066903E1,2.548162568E1,5.963295909E0,2.343286133E1,9.300000072E-1,3.151000061E2,5.229616152E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.896677276E2,6.499067678E1,2.548161832E1,5.991989061E0,2.346154785E1,9.900000095E-1,3.311000061E2,5.252984581E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.906676925E2,6.499068065E1,2.548166718E1,7.444876088E0,2.491442871E1,0.000000000E0,NaN,5.268151104E-1,3.790092468E0,2.500000000E0,3.700000000E1
1.916668720E2,6.499068225E1,2.548169922E1,8.491815318E0,2.596136475E1,0.000000000E0,NaN,5.272425935E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.926672494E2,6.499068277E1,2.548170823E1,8.488154171E0,2.595770264E1,0.000000000E0,NaN,5.273811564E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.936678427E2,6.499068294E1,2.548171115E1,8.485041691E0,2.595458984E1,0.000000000E0,NaN,5.278542073E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.946676922E2,6.499068379E1,2.548170129E1,8.331477472E0,2.580102539E1,3.700000048E-1,2.881000061E2,5.289117840E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.956674396E2,6.499068767E1,2.548168075E1,7.957700577E0,2.542724609E1,9.700000286E-1,3.031000061E2,5.300829651E-1,3.790092468E0,2.500000000E0,3.900000000E1
1.966670144E2,6.499069360E1,2.548166016E1,7.966249757E0,2.543579102E1,1.009999990E0,3.051000061E2,5.367786506E-1,3.790092468E0,2.500000000E0,4.000000000E1
1.976675520E2,6.499069807E1,2.548151812E1,5.155149890E0,2.262469482E1,1.230000019E0,3.087999878E2,5.396299709E-1,4.230971813E0,2.500000000E0,4.000000000E1
1.986674979E2,6.499071594E1,2.548147462E1,4.845532381E0,2.231506348E1,1.549999952E0,3.111000061E2,5.415495464E-1,4.056558132E0,2.700496674E0,4.000000000E1
1.996671536E2,6.499072956E1,2.548144953E1,4.625938875E0,2.209545898E1,1.509999990E0,3.185000000E2,5.438977826E-1,3.790092468E0,2.848375082E0,4.000000000E1
2.006672212E2,6.499074440E1,2.548141399E1,3.784763874E0,2.125427246E1,1.529999971E0,3.140000000E2,5.456799554E-1,3.790092468E0,3.114687681E0,3.500000000E1
2.016673517E2,6.499075532E1,2.548138624E1,3.706097950E0,2.117559814E1,1.460000038E0,3.101000061E2,5.469772247E-1,3.790092468E0,3.515167236E0,3.600000000E1
2.026674715E2,6.499076225E1,2.548136404E1,3.885973631E0,2.135546875E1,1.259999990E0,3.147000122E2,5.480015950E-1,3.790092468E0,3.740236521E0,3.600000000E1
2.036673853E2,6.499077016E1,2.548135287E1,3.972405976E0,2.144189453E1,1.169999957E0,3.197000122E2,5.490896988E-1,3.790092468E0,3.855147600E0,3.600000000E1
2.046672940E2,6.499077907E1,2.548134330E1,4.229554648E0,2.169903564E1,1.299999952E0,3.267000122E2,5.501055207E-1,3.790092468E0,3.969187021E0,3.600000000E1
2.056673055E2,6.499078771E1,2.548133628E1,4.346810636E0,2.181628418E1,1.309999943E0,3.266000061E2,5.510982034E-1,3.790092468E0,3.898216248E0,3.600000000E1
2.066673551E2,6.499079560E1,2.548132640E1,4.446426627E0,2.191589355E1,1.289999962E0,3.203999939E2,5.520666166E-1,3.790092468E0,3.824146748E0,3.500000000E1
2.076669153E2,6.499080333E1,2.548131691E1,4.590354018E0,2.205981445E1,1.269999981E0,3.246000061E2,5.530732876E-1,3.790092468E0,3.675282240E0,3.200000000E1
2.086677847E2,6.499081188E1,2.548130987E1,4.486418516E0,2.195587158E1,1.269999981E0,3.285000000E2,5.540915177E-1,3.790092468E0,3.680784702E0,3.100000000E1
2.096671236E2,6.499082018E1,2.548130072E1,4.535192634E0,2.200463867E1,1.230000019E0,3.256000061E2,5.551851013E-1,3.790092468E0,3.741774321E0,3.100000000E1
2.106675686E2,6.499082751E1,2.548128521E1,4.310650096E0,2.178009033E1,1.230000019E0,3.172999878E2,5.563659387E-1,3.790092468E0,3.597230196E0,3.100000000E1
2.116668762E2,6.499083502E1,2.548126745E1,4.494371758E0,2.196380615E1,1.169999957E0,3.147999878E2,5.575211587E-1,3.790092468E0,3.406926870E0,3.100000000E1
2.126675147E2,6.499084316E1,2.548125218E1,4.641106822E0,2.211053467E1,1.149999976E0,3.217999878E2,5.585240768E-1,3.790092468E0,3.327517509E0,3.200000000E1
2.136675001E2,6.499085154E1,2.548124429E1,4.537293190E0,2.200671387E1,1.039999962E0,3.247000122E2,5.602964783E-1,3.790092468E0,3.118343830E0,3.200000000E1
2.146677268E2,6.499086377E1,2.548122011E1,5.731272688E0,2.320068359E1,1.019999981E0,3.235000000E2,5.619886923E-1,3.790092468E0,3.219091892E0,3.300000000E1
2.156671194E2,6.499087646E1,2.548120024E1,6.264058990E0,2.373345947E1,1.000000000E0,3.197000122E2,5.631643161E-1,3.790092468E0,3.234578848E0,3.500000000E1
2.166678405E2,6.499088511E1,2.548118586E1,6.184354134E0,2.365374756E1,9.599999785E-1,3.218999939E2,5.636420069E-1,3.790092468E0,3.356691599E0,3.600000000E1
2.176670286E2,6.499088914E1,2.548118234E1,6.235932304E0,2.370532227E1,9.399999976E-1,3.286000061E2,5.657192697E-1,3.790092468E0,3.118120670E0,3.500000000E1
2.186678077E2,6.499090045E1,2.548121751E1,5.579572406E0,2.304895020E1,2.809999943E0,3.959999847E1,5.660446404E-1,3.790092468E0,3.110251665E0,3.900000000E1
2.196675650E2,6.499090051E1,2.548122443E1,5.649702233E0,2.311907959E1,0.000000000E0,NaN,5.663378472E-1,3.790092468E0,2.939938068E0,3.900000000E1
2.206669493E2,6.499089788E1,2.548122398E1,5.506511347E0,2.297589111E1,0.000000000E0,NaN,5.667283044E-1,3.790092468E0,2.876541376E0,4.000000000E1
2.216671724E2,6.499089437E1,2.548122422E1,5.505897826E0,2.297528076E1,0.000000000E0,NaN,5.668273081E-1,3.790092468E0,2.769092083E0,3.900000000E1
2.226677746E2,6.499089348E1,2.548122428E1,5.507728077E0,2.297711182E1,0.000000000E0,NaN,5.668517755E-1,3.790092468E0,2.710304737E0,3.900000000E1
2.236675032E2,6.499089326E1,2.548122429E1,5.510230319E0,2.297961426E1,0.000000000E0,NaN,5.668575113E-1,3.790092468E0,2.618217468E0,3.900000000E1
2.246674665E2,6.499089321E1,2.548122426E1,5.517127245E0,2.298651123E1,0.000000000E0,NaN,5.668666043E-1,3.790092468E0,2.510662317E0,3.200000000E1
2.256675316E2,6.499089314E1,2.548122436E1,5.520606191E0,2.298999023E1,0.000000000E0,NaN,5.669111497E-1,3.790092468E0,2.711375237E0,3.100000000E1
2.266678069E2,6.499089352E1,2.548122466E1,5.713965927E0,2.318334961E1,0.000000000E0,NaN,5.672782714E-1,3.790092468E0,2.913110495E0,3.800000000E1
2.276677514E2,6.499089670E1,2.548122256E1,5.652140082E0,2.312152100E1,5.600000024E-1,3.397999878E2,5.702266778E-1,3.790092468E0,3.091837883E0,3.900000000E1
2.286674396E2,6.499089668E1,2.548115984E1,5.724402269E0,2.319378662E1,1.039999962E0,3.230000000E2,5.715639931E-1,4.231272697E0,3.081768751E0,3.900000000E1
2.296672189E2,6.499090674E1,2.548114425E1,6.174056536E0,2.364343262E1,1.279999971E0,3.247999878E2,5.729378389E-1,4.004726887E0,2.989967346E0,3.900000000E1
2.306678467E2,6.499091800E1,2.548115628E1,4.916315936E0,2.238568115E1,8.299999833E-1,3.182000122E2,5.746308970E-1,3.790092468E0,3.363985300E0,3.900000000E1
2.316669001E2,6.499093186E1,2.548114137E1,4.704962944E0,2.217431641E1,1.519999981E0,3.190000000E2,5.764352001E-1,3.790092468E0,3.622192860E0,3.400000000E1
2.326669753E2,6.499094395E1,2.548111577E1,4.536942723E0,2.200628662E1,1.419999957E0,3.190000000E2,5.788152918E-1,3.798670530E0,3.894186020E0,3.400000000E1
2.336672081E2,6.499096088E1,2.548108479E1,4.547942711E0,2.201727295E1,1.460000038E0,3.347999878E2,5.804077513E-1,3.790092468E0,3.906088114E0,3.400000000E1
2.346673462E2,6.499097315E1,2.548106732E1,4.492716065E0,2.196203613E1,1.460000038E0,3.380000000E2,5.819404052E-1,3.790092468E0,3.793763161E0,3.400000000E1
2.356673422E2,6.499098559E1,2.548105328E1,4.771840347E0,2.224114990E1,1.559999943E0,3.346000061E2,5.834706938E-1,3.790092468E0,3.483852863E0,3.400000000E1
2.366673886E2,6.499099808E1,2.548103961E1,5.127380709E0,2.259667969E1,1.490000010E0,3.347999878E2,5.847258466E-1,3.790092468E0,3.301933765E0,3.400000000E1
2.376671913E2,6.499100809E1,2.548102727E1,5.130257763E0,2.259954834E1,1.399999976E0,3.311000061E2,5.860360056E-1,3.790092468E0,3.104689598E0,3.400000000E1
2.386672112E2,6.499101588E1,2.548100636E1,5.186538098E0,2.265582275E1,1.289999962E0,3.180000000E2,5.873541240E-1,3.790092468E0,2.992456675E0,3.400000000E1
2.396668759E2,6.499102263E1,2.548098331E1,5.029316396E0,2.249859619E1,1.240000010E0,3.178999939E2,5.886577997E-1,3.790092468E0,2.782007933E0,3.300000000E1
2.406669166E2,6.499103188E1,2.548096627E1,5.187221801E0,2.265649414E1,1.259999990E0,3.302999878E2,5.899980163E-1,3.790092468E0,2.500000000E0,3.300000000E1
2.416673904E2,6.499104325E1,2.548095681E1,5.614111475E0,2.308337402E1,1.330000043E0,3.432999878E2,5.913543923E-1,3.790092468E0,2.500000000E0,3.300000000E1
2.426677423E2,6.499105525E1,2.548095163E1,5.702439942E0,2.317169189E1,1.340000033E0,3.478999939E2,5.927513789E-1,3.790092468E0,2.500000000E0,3.300000000E1
2.436673875E2,6.499106739E1,2.548094398E1,5.777096525E0,2.324633789E1,1.320000052E0,3.432999878E2,5.939744892E-1,3.790092468E0,2.500000000E0,3.300000000E1
2.446668708E2,6.499107772E1,2.548093504E1,5.486517023E0,2.295574951E1,1.210000038E0,3.365000000E2,5.949414112E-1,3.790092468E0,2.500000000E0,3.300000000E1
2.456675534E2,6.499108503E1,2.548092390E1,5.599865326E0,2.306909180E1,1.029999971E0,3.295000000E2,5.958930904E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.466668883E2,6.499109343E1,2.548092002E1,7.461261889E0,2.493048096E1,1.139999986E0,3.482000122E2,5.967082300E-1,3.790092468E0,2.500000000E0,3.400000000E1
2.476677829E2,6.499108630E1,2.548092405E1,6.083692169E0,2.355291748E1,0.000000000E0,NaN,5.969679545E-1,3.790092468E0,2.500000000E0,3.600000000E1
2.486671228E2,6.499108402E1,2.548092525E1,6.079539777E0,2.354876709E1,0.000000000E0,NaN,5.977218950E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.496675091E2,6.499109060E1,2.548092138E1,6.302140746E0,2.377136230E1,6.999999881E-1,3.480000000E2,5.989249090E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.506668719E2,6.499110138E1,2.548091921E1,6.590358408E0,2.405957031E1,1.129999995E0,3.508999939E2,6.003828905E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.516671934E2,6.499111403E1,2.548091105E1,6.636695113E0,2.410589600E1,1.509999990E0,3.411000061E2,6.015283395E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.526673535E2,6.499112399E1,2.548090483E1,6.315353704E0,2.378454590E1,1.120000005E0,3.386000061E2,6.031174926E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.536671810E2,6.499113806E1,2.548089890E1,6.581296311E0,2.405047607E1,1.350000024E0,3.428999939E2,6.045768034E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.546675357E2,6.499115084E1,2.548089184E1,6.610726456E0,2.407989502E1,1.350000024E0,3.455000000E2,6.060177985E-1,3.790092468E0,2.500000000E0,3.800000000E1
2.556677338E2,6.499116354E1,2.548088574E1,6.301655604E0,2.377081299E1,1.269999981E0,3.358999939E2,6.074909370E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.566671531E2,6.499117591E1,2.548087452E1,6.130157415E0,2.359930420E1,1.320000052E0,3.336000061E2,6.090365707E-1,3.790092468E0,2.500000000E0,3.400000000E1
2.576670808E2,6.499118947E1,2.548086729E1,6.244854370E0,2.371398926E1,1.389999986E0,3.432000122E2,6.104764193E-1,3.790092468E0,2.500000000E0,3.400000000E1
2.586670013E2,6.499120203E1,2.548085984E1,6.388786247E0,2.385791016E1,1.320000052E0,3.448999939E2,6.117458513E-1,3.790092468E0,2.500000000E0,3.300000000E1
2.596670385E2,6.499121304E1,2.548085270E1,6.582582458E0,2.405169678E1,1.179999948E0,3.470000000E2,6.130489422E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.606678114E2,6.499122464E1,2.548084876E1,6.806469711E0,2.427557373E1,1.210000038E0,3.567000122E2,6.141969190E-1,3.790092468E0,2.500000000E0,3.200000000E1
2.616670414E2,6.499123464E1,2.548085483E1,7.084921491E0,2.455401611E1,1.220000029E0,1.700000000E1,6.149792570E-1,3.790092468E0,2.500000000E0,2.900000000E1
2.626675621E2,6.499122785E1,2.548085919E1,5.748245653E0,2.321734619E1,0.000000000E0,NaN,6.157641105E-1,3.790092468E0,2.500000000E0,2.900000000E1
2.636677892E2,6.499123464E1,2.548086375E1,5.689108991E0,2.315820312E1,1.100000024E0,7.900000095E0,6.163644728E-1,3.790092468E0,2.500000000E0,3.300000000E1
2.646672588E2,6.499123999E1,2.548086547E1,5.506374677E0,2.297546387E1,6.700000167E-1,3.446000061E2,6.171557084E-1,3.790092468E0,2.500000000E0,3.400000000E1
2.656670377E2,6.499124630E1,2.548085769E1,5.367280851E0,2.283636475E1,9.300000072E-1,3.352000122E2,6.186258341E-1,3.790092468E0,2.500000000E0,3.500000000E1
2.666678018E2,6.499125824E1,2.548087112E1,5.603437429E0,2.307250977E1,1.139999986E0,3.445000000E2,6.197630009E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.676675184E2,6.499126843E1,2.548087317E1,5.829337892E0,2.329840088E1,1.029999971E0,3.492999878E2,6.209547212E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.686677949E2,6.499127905E1,2.548087658E1,5.627687550E0,2.309674072E1,1.080000043E0,1.000000000E1,6.218599355E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.696677039E2,6.499128603E1,2.548088649E1,5.006966881E0,2.247601318E1,1.029999971E0,2.270000076E1,6.225009647E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.706670336E2,6.499128042E1,2.548088963E1,4.152774956E0,2.162182617E1,0.000000000E0,NaN,6.233104200E-1,3.790092468E0,2.500000000E0,3.800000000E1
2.716674032E2,6.499127639E1,2.548090397E1,4.753235955E0,2.222229004E1,0.000000000E0,NaN,6.235575473E-1,3.790092468E0,2.500000000E0,3.800000000E1
2.726672082E2,6.499127520E1,2.548090841E1,4.734863537E0,2.220391846E1,0.000000000E0,NaN,6.236498280E-1,3.790092468E0,2.500000000E0,3.800000000E1
2.736675179E2,6.499127480E1,2.548091013E1,4.722534167E0,2.219158936E1,0.000000000E0,NaN,6.238456416E-1,3.790092468E0,2.500000000E0,3.800000000E1
2.746677903E2,6.499127640E1,2.548091187E1,4.071107491E0,2.154016113E1,3.000000119E-1,1.010000038E1,6.246516774E-1,3.790092468E0,2.500000000E0,3.800000000E1
2.756675552E2,6.499128290E1,2.548090428E1,3.613166190E0,2.108221436E1,7.599999905E-1,3.366000061E2,6.295096342E-1,3.790092468E0,2.500000000E0,3.600000000E1
2.766674298E2,6.499126818E1,2.548080698E1,1.963611385E0,1.943267822E1,1.169999957E0,3.468999939E2,6.305593143E-1,3.936908484E0,2.500000000E0,3.800000000E1
2.776668830E2,6.499127762E1,2.548080698E1,1.879940743E0,1.934899902E1,1.080000043E0,3.478999939E2,6.315839403E-1,3.920935869E0,2.500000000E0,3.900000000E1
2.786670539E2,6.499128682E1,2.548080821E1,2.318913993E0,1.978796387E1,9.300000072E-1,3.491000061E2,6.318588180E-1,3.790092468E0,2.500000000E0,3.900000000E1
2.796675676E2,6.499128857E1,2.548081234E1,2.331244908E0,1.980029297E1,3.899999857E-1,3.492000122E2,6.318861601E-1,3.790092468E0,2.500000000E0,3.100000000E1
2.806676984E2,6.499128849E1,2.548081289E1,2.338996330E0,1.980804443E1,0.000000000E0,NaN,6.321519772E-1,3.790092468E0,2.500000000E0,3.400000000E1
2.816673122E2,6.499128665E1,2.548081650E1,1.716619372E0,1.918566895E1,0.000000000E0,NaN,6.325035113E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.826675511E2,6.499128433E1,2.548082158E1,1.242801629E0,1.871185303E1,0.000000000E0,NaN,6.328002155E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.836675557E2,6.499128196E1,2.548082448E1,8.723162408E-1,1.834136963E1,0.000000000E0,NaN,6.330363754E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.846673096E2,6.499128047E1,2.548082806E1,6.531988752E-1,1.812225342E1,0.000000000E0,NaN,6.334366218E-1,3.790092468E0,2.500000000E0,3.800000000E1
2.856669610E2,6.499127958E1,2.548083631E1,3.379519382E-1,1.780700684E1,2.599999905E-1,3.492000122E2,6.338767051E-1,3.790092468E0,2.500000000E0,3.800000000E1
2.866676991E2,6.499127985E1,2.548084565E1,5.581675383E-1,1.802722168E1,4.300000072E-1,3.492000122E2,6.342294705E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.876678312E2,6.499127735E1,2.548085027E1,6.198720680E-1,1.808892822E1,0.000000000E0,NaN,6.344141251E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.886673092E2,6.499127578E1,2.548085155E1,4.763770625E-1,1.794543457E1,3.899999857E-1,3.492000122E2,6.346539216E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.896669215E2,6.499127505E1,2.548084675E1,3.647428371E-1,1.783380127E1,0.000000000E0,NaN,6.348223908E-1,3.790092468E0,2.500000000E0,3.800000000E1
2.906673578E2,6.499127443E1,2.548084348E1,5.621297913E-1,1.803118896E1,0.000000000E0,NaN,6.352276177E-1,3.790092468E0,2.500000000E0,3.800000000E1
2.916675372E2,6.499127768E1,2.548083958E1,7.593981489E-1,1.822845459E1,0.000000000E0,NaN,6.354145090E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.926675592E2,6.499127777E1,2.548083561E1,6.764512357E-1,1.814550781E1,0.000000000E0,NaN,6.355582398E-1,3.790092468E0,2.500000000E0,3.700000000E1
2.936675525E2,6.499127900E1,2.548083467E1,7.654415570E-1,1.823449707E1,0.000000000E0,NaN,6.356923682E-1,3.790092468E0,2.500000000E0,3.600000000E1
2.946678364E2,6.499128020E1,2.548083438E1,1.050171633E0,1.851922607E1,0.000000000E0,NaN,6.357737890E-1,3.790092468E0,2.500000000E0,3.600000000E1
2.956668999E2,6.499128047E1,2.548083277E1,1.348511633E0,1.881756592E1,0.000000000E0,NaN,6.359213557E-1,3.790092468E0,2.500000000E0,3.500000000E1
2.966669136E2,6.499128111E1,2.548083552E1,1.572328282E0,1.904138184E1,0.000000000E0,NaN,6.359989025E-1,3.790092468E0,2.500000000E0,3.500000000E1
2.976669267E2,6.499128061E1,2.548083667E1,1.646302501E0,1.911535645E1,0.000000000E0,NaN,6.360998498E-1,3.790092468E0,2.500000000E0,3.500000000E1
2.986669447E2,6.499127978E1,2.548083754E1,1.694458535E0,1.916351318E1,0.000000000E0,NaN,6.361325861E-1,3.790092468E0,2.500000000E0,3.500000000E1
2.996677917E2,6.499127949E1,2.548083742E1,1.787781019E0,1.925683594E1,0.000000000E0,NaN,6.361526527E-1,3.790092468E0,2.500000000E0,3.400000000E1
3.006675558E2,6.499127958E1,2.548083705E1,1.808533033E0,1.927758789E1,0.000000000E0,NaN,6.365427366E-1,3.790092468E0,2.500000000E0,3.400000000E1
3.016673855E2,6.499128263E1,2.548083295E1,1.820071218E0,1.928912354E1,4.900000095E-1,3.490000000E2,6.376020479E-1,3.790092468E0,2.500000000E0,3.400000000E1
3.026672925E2,6.499129080E1,2.548082136E1,1.674997423E0,1.914404297E1,9.700000286E-1,3.487999878E2,6.388478218E-1,3.790092468E0,2.500000000E0,3.600000000E1
3.036668739E2,6.499130133E1,2.548081231E1,1.777057254E0,1.924609375E1,1.120000005E0,3.423999939E2,6.400139701E-1,3.790092468E0,2.500000000E0,3.700000000E1
3.046668763E2,6.499131139E1,2.548080530E1,2.163906809E0,1.963293457E1,9.399999976E-1,3.432000122E2,6.414139227E-1,3.790092468E0,2.500000000E0,3.700000000E1
3.056674902E2,6.499132341E1,2.548079644E1,2.222266829E0,1.969128418E1,1.320000052E0,3.495000000E2,6.426315318E-1,3.790092468E0,2.500000000E0,3.900000000E1
3.066671349E2,6.499133418E1,2.548079176E1,2.036851531E0,1.950585938E1,9.300000072E-1,3.503999939E2,6.439931308E-1,3.790092468E0,2.500000000E0,3.900000000E1
3.076677455E2,6.499134634E1,2.548078835E1,2.103878968E0,1.957287598E1,1.240000010E0,3.517999878E2,6.455062419E-1,3.790092468E0,2.500000000E0,3.900000000E1
