"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.786896250E-1,-1.841202255E0,3.062236539E0,1.098204163E0
7.886696251E-1,-2.167547347E0,3.495570767E0,1.037118301E0
7.986486249E-1,-2.379346362E0,3.320462446E0,1.094737934E0
8.086276250E-1,-2.182178981E0,2.491179916E0,1.408461519E0
8.186076251E-1,-1.707319435E0,1.281002743E0,1.542894854E0
8.285866249E-1,-1.067313323E0,2.313649678E-1,1.647116795E0
8.385666250E-1,-4.763495627E-1,-4.291289109E-1,1.762253149E0
8.485456251E-1,-2.613538751E-1,-1.136995177E0,1.459185530E0
8.585246250E-1,-2.413603444E-1,-1.590994050E0,6.996474195E-1
8.685046250E-1,-3.048302624E-1,-1.704106683E0,1.874734282E-2
8.784836251E-1,-6.135588634E-1,-1.652628381E0,-1.565942824E-1
8.884626250E-1,-8.587422636E-1,-1.733838020E0,-7.061097622E-3
8.984426251E-1,-1.005221301E0,-1.939449511E0,3.571362376E-2
9.084216249E-1,-1.134162932E0,-2.019765696E0,-1.580204183E-1
9.184006250E-1,-1.241652882E0,-1.992438734E0,-5.480285329E-1
9.283806251E-1,-1.171235448E0,-2.065159385E0,-1.042532238E0
9.383596249E-1,-9.216890019E-1,-2.075936388E0,-1.496146365E0
9.483386250E-1,-8.706176662E-1,-2.071535189E0,-1.893678676E0
9.583186251E-1,-7.422261129E-1,-2.242926435E0,-2.084382691E0
9.682976250E-1,-6.072760302E-1,-2.488018911E0,-2.093986158E0
9.782766250E-1,-7.438542701E-1,-2.534135901E0,-1.999213902E0
9.882566251E-1,-8.856138740E-1,-2.445892646E0,-1.836954837E0
9.982356250E-1,-1.030096234E0,-2.329195670E0,-1.777630742E0
1.008215625E0,-1.167119739E0,-2.199780416E0,-1.980222731E0
1.018194625E0,-1.127536867E0,-2.031652501E0,-2.359845021E0
1.028173625E0,-9.956760143E-1,-1.860836036E0,-2.828470704E0
1.038153625E0,-8.081094691E-1,-1.519391971E0,-3.214036104E0
1.048132625E0,-5.643650687E-1,-1.033780126E0,-3.518702352E0
1.058111625E0,-2.848669910E-1,-6.495958382E-1,-3.717107735E0
1.068091625E0,-1.986006796E-2,-3.270441270E-1,-3.658335616E0
1.078070625E0,2.188184510E-1,-6.416968346E-2,-3.440963620E0
1.088049625E0,4.468048976E-1,2.226923776E-1,-3.190764771E0
1.098029625E0,6.684491618E-1,5.476712680E-1,-2.800059668E0
1.108008625E0,8.538691941E-1,8.224395329E-1,-2.266351551E0
1.117988625E0,9.444425645E-1,1.161063486E0,-1.416976819E0
1.127967625E0,1.096597348E0,1.537047054E0,-1.482830501E-1
1.137946625E0,1.333092517E0,1.539745544E0,1.296523007E0
1.147926625E0,1.537008316E0,1.367043352E0,2.572429901E0
1.157905625E0,1.622016160E0,1.314876832E0,3.368899611E0
1.167884625E0,1.593161174E0,1.504638861E0,3.618208514E0
1.177864625E0,1.464113563E0,2.059769422E0,3.420020063E0
1.187843625E0,1.398733068E0,2.553354530E0,2.901739240E0
1.197822625E0,1.481782826E0,3.037742552E0,2.430602762E0
1.207802625E0,1.542324604E0,3.452182673E0,2.506772686E0
1.217781625E0,1.609796357E0,3.405206142E0,3.083781189E0
1.227761625E0,1.863329435E0,3.155175692E0,3.601745093E0
1.237740625E0,2.316301537E0,3.099061718E0,3.851262742E0
1.247719625E0,2.417992364E0,3.215262850E0,3.574855503E0
1.257699625E0,2.244489104E0,3.263842102E0,2.847812124E0
1.267678625E0,1.971850541E0,3.171071933E0,2.023942362E0
1.277657625E0,1.679567526E0,2.958613352E0,1.655259628E0
1.287637625E0,1.401761633E0,2.711749755E0,2.161651892E0
1.297616625E0,1.017105913E0,2.052348720E0,3.249533381E0
1.307596625E0,8.262218043E-1,1.168326897E0,4.108792831E0
1.317575625E0,7.554419897E-1,5.792468172E-1,4.273337572E0
1.327554625E0,-4.371495366E-2,-7.708670908E-1,3.888002552E0
1.337534625E0,-2.629206365E-1,-1.077977475E0,2.778033206E0
1.347513625E0,4.671380053E-1,-5.668694311E-1,1.326347315E0
1.357492625E0,7.213082837E-1,-5.571776712E-1,-1.531461793E-1
1.367472625E0,7.328948338E-1,-6.446794993E-1,-1.388026085E0
1.377451625E0,8.304269756E-1,-5.989384854E-1,-2.295503429E0
1.387431625E0,8.299520355E-1,-7.203775531E-1,-2.982414443E0
1.397410625E0,9.427315231E-1,-1.073297948E0,-3.064749672E0
1.407389625E0,1.022127064E0,-1.621883721E0,-2.511207799E0
1.417369625E0,9.658419120E-1,-2.159673194E0,-2.051288620E0
1.427348625E0,6.511760482E-1,-3.013023448E0,-1.744004574E0
1.437327625E0,3.458069649E-1,-3.651179209E0,-1.417415360E0
1.447307625E0,9.952370346E-2,-3.831367006E0,-1.178068358E0
1.457286625E0,-2.665273453E-1,-3.788261333E0,-1.383503848E0
