"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.077000833E-1,-1.623197473E1,-2.261913982E1,-4.361628774E0,2.818024655E1
6.176797083E-1,-1.748439219E1,-2.333517581E1,-4.460774163E0,2.949801530E1
6.276597084E-1,-1.870101884E1,-2.421843282E1,-4.052169564E0,3.086552563E1
6.376397084E-1,-1.879644306E1,-2.499998570E1,-2.915531652E0,3.141346657E1
6.476197083E-1,-1.744633383E1,-2.594626634E1,-1.600829067E0,3.130728277E1
6.575997083E-1,-1.574009409E1,-2.642769567E1,-4.705365533E-1,3.076353466E1
6.675797083E-1,-1.400419025E1,-2.636992050E1,2.269023728E-1,2.985869281E1
6.775597084E-1,-1.146097420E1,-2.609893714E1,2.161756557E-1,2.850535355E1
6.875397083E-1,-7.332799022E0,-2.562990624E1,-3.444004903E-1,2.666046975E1
6.975197083E-1,-1.948298395E0,-2.405577030E1,-1.476379414E0,2.417965359E1
7.074997083E-1,2.672651178E0,-2.101470127E1,-2.462923247E0,2.132666698E1
7.174797084E-1,6.188870802E0,-1.780206557E1,-3.149775789E0,1.910855170E1
7.274597083E-1,9.625954794E0,-1.487978155E1,-3.280643784E0,1.802302773E1
7.374397083E-1,1.376792180E1,-1.245326190E1,-2.480128094E0,1.872940037E1
7.474197083E-1,1.961953339E1,-1.104037580E1,-1.067840742E0,2.253788526E1
7.573997083E-1,2.619053260E1,-9.577869047E0,2.475392142E0,2.799655585E1
7.673797084E-1,3.205005313E1,-7.039921930E0,7.128411938E0,3.357946788E1
7.773597083E-1,3.606755806E1,-3.688467488E0,1.137464708E1,3.799810697E1
7.873397083E-1,3.746855093E1,1.140419014E-1,1.531740004E1,4.047873588E1
7.973197083E-1,3.703617974E1,3.012003694E0,1.811182416E1,4.133750054E1
8.072997084E-1,3.525151363E1,4.848588402E0,1.852702208E1,4.011768400E1
8.172797083E-1,3.303257949E1,6.243132963E0,1.648056911E1,3.743978065E1
8.272597083E-1,3.178867792E1,6.861148574E0,1.317780910E1,3.508917292E1
8.372397083E-1,3.126882302E1,6.735745094E0,1.060017635E1,3.369678462E1
8.472197084E-1,3.008884555E1,6.240202339E0,1.023344483E1,3.238830259E1
8.571987083E-1,2.819915643E1,5.424528619E0,1.138556851E1,3.089092268E1
8.671787083E-1,2.624020821E1,4.195509085E0,1.274191672E1,2.947044731E1
8.771587083E-1,2.464225305E1,2.861790478E0,1.381705830E1,2.839615431E1
8.871387084E-1,2.347951550E1,1.140778033E0,1.460721593E1,2.767597840E1
8.971187084E-1,2.196547490E1,-8.158862659E-1,1.445716586E1,2.630888448E1
9.070987083E-1,1.950348136E1,-2.828737922E0,1.321584290E1,2.372859134E1
9.170787083E-1,1.662052338E1,-4.904449777E0,1.122592666E1,2.064744184E1
9.270587083E-1,1.400214255E1,-6.790905388E0,9.146812309E0,1.805105447E1
9.370387084E-1,1.191286691E1,-8.444896170E0,7.505048640E0,1.641823451E1
9.470187083E-1,9.983421400E0,-1.010555804E1,6.401136425E0,1.558093558E1
9.569987083E-1,7.961301615E0,-1.198858367E1,5.961118244E0,1.557701488E1
9.669787083E-1,5.705630003E0,-1.392299932E1,6.203157889E0,1.627523553E1
9.769587084E-1,3.717260347E0,-1.561926839E1,6.952784969E0,1.749630785E1
9.869387083E-1,2.096455145E0,-1.725271498E1,7.924976957E0,1.910121876E1
9.969187083E-1,8.122533908E-1,-1.887129444E1,8.991817825E0,2.091980634E1
1.006898708E0,-2.854119515E-1,-2.053628208E1,9.805542083E0,2.275893225E1
1.016878708E0,-1.697811863E0,-2.204378315E1,1.031366629E1,2.439636558E1
1.026858708E0,-3.720808145E0,-2.271755548E1,1.031229687E1,2.522449617E1
1.036838708E0,-5.767164931E0,-2.239383491E1,9.956822416E0,2.517702019E1
1.046818708E0,-7.175970851E0,-2.186428533E1,9.589399756E0,2.492986398E1
1.056798708E0,-8.076199402E0,-2.131786303E1,8.856411513E0,2.445633467E1
1.066778708E0,-8.276936654E0,-2.130349291E1,7.839974813E0,2.416219559E1
1.076758708E0,-8.186761479E0,-2.175506636E1,6.713652560E0,2.419460904E1
1.086738708E0,-8.489591117E0,-2.210398141E1,5.975849719E0,2.442068655E1
1.096718708E0,-9.373911733E0,-2.223985199E1,5.651342114E0,2.478747477E1
